geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
7578,10541,ANP32B,acidic nuclear phosphoprotein 32 family member B,0.95827,0.541,0.731
7580,10544,PROCR,protein C receptor,0.0056256,0.56,0.692
7584,10551,AGR2,"anterior gradient 2, protein disulphide isomerase family member",9.2381e-08,0.556,0.692
7585,10552,ARPC1A,actin related protein 2/3 complex subunit 1A,0.73997,0.78,0.308
7587,10554,AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,0.97215,0.743,0.423
7588,10555,AGPAT2,1-acylglycerol-3-phosphate O-acyltransferase 2,1.236e-07,0.585,0.654
7590,10558,SPTLC1,serine palmitoyltransferase long chain base subunit 1,4.1945e-11,0.65,0.538
7591,10559,SLC35A1,solute carrier family 35 member A1,0.68262,0.601,0.654
7592,10560,SLC19A2,solute carrier family 19 member 2,0.00043398,0.636,0.692
7594,10562,OLFM4,olfactomedin 4,2.7754e-06,0.576,0.615
7596,10564,ARFGEF2,ADP ribosylation factor guanine nucleotide exchange factor 2,0.99993,0.659,0.462
7600,10568,SLC34A2,solute carrier family 34 member 2,9.3992e-11,0.656,0.423
7607,10576,CCT2,chaperonin containing TCP1 subunit 2,0.99853,0.656,0.577
7608,10577,NPC2,NPC intracellular cholesterol transporter 2,0.0017755,0.612,0.769
7611,10580,SORBS1,sorbin and SH3 domain containing 1,1.534e-12,0.554,0.769
7612,10581,IFITM2,interferon induced transmembrane protein 2,0.0051529,0.792,0.231
7613,10584,COLEC10,collectin subfamily member 10,0.0026167,0.621,0.692
7614,10585,POMT1,protein O-mannosyltransferase 1,4.2265e-17,0.525,0.615
7615,10586,MAB21L2,mab-21 like 2,0.43769,0.743,0.308
7616,10587,TXNRD2,thioredoxin reductase 2,3.4688e-11,0.548,0.731
7617,10588,MTHFS,methenyltetrahydrofolate synthetase,0.00025842,0.678,0.5
7619,10590,SCGN,"secretagogin, EF-hand calcium binding protein",2.3395e-11,0.695,0.5
7621,10592,SMC2,structural maintenance of chromosomes 2,0.9999,0.653,0.462
7622,10594,PRPF8,pre-mRNA processing factor 8,1,0.631,0.615
7626,10599,SLCO1B1,solute carrier organic anion transporter family member 1B1,1.1086e-21,0.538,0.731
7635,10611,PDLIM5,PDZ and LIM domain 5,0.0016769,0.525,0.808
7637,10613,ERLIN1,ER lipid raft associated 1,0.17751,0.736,0.308
7639,10615,SPAG5,sperm associated antigen 5,1.3955e-15,0.674,0.385
7640,10616,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1,0.13497,0.736,0.462
7641,10617,STAMBP,STAM binding protein,5.4496e-05,0.653,0.423
7645,10623,POLR3C,RNA polymerase III subunit C,5.0277e-12,0.89,0.115
7649,10628,TXNIP,thioredoxin interacting protein,0.15918,0.49,0.731
7650,10630,PDPN,podoplanin,0.00032048,0.47,0.769
7651,10631,POSTN,periostin,1.0666e-09,0.428,0.885
7654,10634,GAS2L1,growth arrest specific 2 like 1,0.83227,0.861,0.077
7656,10636,RGS14,regulator of G protein signaling 14,0.0023174,0.751,0.346
7661,10643,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3,0.99999,0.57,0.577
7662,10644,IGF2BP2,insulin like growth factor 2 mRNA binding protein 2,0.23861,0.588,0.615
7668,10653,SPINT2,"serine peptidase inhibitor, Kunitz type 2",0.00075147,0.556,0.808
7669,10654,PMVK,phosphomevalonate kinase,2.7113e-05,0.769,0.308
7674,10659,CELF2,CUGBP Elav-like family member 2,0.99965,0.628,0.692
7676,10661,KLF1,Kruppel like factor 1,0.000358,0.621,0.462
7677,10663,CXCR6,C-X-C motif chemokine receptor 6,5.7212e-05,0.448,0.885
7678,10664,CTCF,CCCTC-binding factor,0.99994,0.504,0.769
7679,10665,TSBP1,testis expressed basic protein 1,1.4756e-16,0.638,0.692
7680,10666,CD226,CD226 molecule,0.03921,0.548,0.769
7681,10667,FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial",9.2964e-09,0.615,0.731
7687,10673,TNFSF13B,TNF superfamily member 13b,0.98193,0.46,0.731
7689,10675,CSPG5,chondroitin sulfate proteoglycan 5,0.056186,0.861,0.115
7691,10678,B3GNT2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",0.88722,0.705,0.5
7692,10681,GNB5,G protein subunit beta 5,6.3614e-08,0.736,0.308
7693,10682,EBP,EBP cholestenol delta-isomerase,0.93645,0.494,0.846
7694,10683,DLL3,delta like canonical Notch ligand 3,5.3576e-05,0.552,0.654
7695,10686,CLDN16,claudin 16,0.025466,0.647,0.538
7703,10699,CORIN,"corin, serine peptidase",6.5072e-35,0.695,0.538
7707,10715,CERS1,ceramide synthase 1,0.096618,0.638,0.385
7708,10716,TBR1,T-box brain transcription factor 1,0.99901,0.666,0.385
7709,10717,AP4B1,adaptor related protein complex 4 subunit beta 1,1.335e-09,0.631,0.654
7713,10723,SLC12A7,solute carrier family 12 member 7,1.3921e-17,0.769,0.385
7714,10724,OGA,O-GlcNAcase,0.96569,0.534,0.731
7715,10725,NFAT5,nuclear factor of activated T cells 5,1,0.601,0.692
7716,10726,NUDC,"nuclear distribution C, dynein complex regulator",0.88682,0.76,0.154
7720,10733,PLK4,polo like kinase 4,7.0844e-06,0.551,0.731
7721,10734,STAG3,stromal antigen 3,8.7188e-13,0.722,0.385
7722,10735,STAG2,stromal antigen 2,1,0.568,0.731
7728,10743,RAI1,retinoic acid induced 1,1,0.545,0.731
7731,10746,MAP3K2,mitogen-activated protein kinase kinase kinase 2,0.99999,0.686,0.231
7734,10749,KIF1C,kinesin family member 1C,0.71767,0.7,0.5
7738,10755,GIPC1,GIPC PDZ domain containing family member 1,0.0083114,0.628,0.577
7739,10758,TRAF3IP2,TRAF3 interacting protein 2,1.615e-09,0.585,0.692
7741,10762,NUP50,nucleoporin 50,0.28337,1,0.038
7742,10763,NES,nestin,1.6236e-06,0.45,0.808
7743,10765,KDM5B,lysine demethylase 5B,7.9102e-15,0.532,0.731
7745,10767,HBS1L,HBS1 like translational GTPase,1.8606e-07,0.705,0.462
7747,10769,PLK2,polo like kinase 2,0.9999,0.575,0.808
7748,10771,ZMYND11,zinc finger MYND-type containing 11,1,0.647,0.5
7752,10776,ARPP19,cAMP regulated phosphoprotein 19,0.77371,0.839,0.231
7759,10785,WDR4,WD repeat domain 4,1.3806e-08,0.653,0.538
7760,10786,SLC17A3,solute carrier family 17 member 3,4.9259e-22,0.769,0.385
7762,10788,IQGAP2,IQ motif containing GTPase activating protein 2,8.4988e-27,0.674,0.269
7768,10800,CYSLTR1,cysteinyl leukotriene receptor 1,0.01203,0.593,0.769
7770,10803,CCR9,C-C motif chemokine receptor 9,0.0041986,0.573,0.692
7771,10804,GJB6,gap junction protein beta 6,1.658e-07,0.528,0.808
7772,10806,SDCCAG8,serologically defined colon cancer antigen 8,1.1809e-11,0.619,0.577
7774,10808,HSPH1,heat shock protein family H (Hsp110) member 1,0.99822,0.65,0.538
7780,10815,CPLX1,complexin 1,0.82499,0.576,0.654
7787,10826,FAXDC2,fatty acid hydroxylase domain containing 2,1.7164e-08,0.839,0.115
7789,10840,ALDH1L1,aldehyde dehydrogenase 1 family member L1,1.4114e-11,0.663,0.615
7790,10841,FTCD,formimidoyltransferase cyclodeaminase,5.523e-15,0.722,0.423
7792,10844,TUBGCP2,tubulin gamma complex associated protein 2,2.2003e-08,0.705,0.462
7793,10845,CLPX,caseinolytic mitochondrial matrix peptidase chaperone subunit X,0.92377,0.931,0.154
7794,10846,PDE10A,phosphodiesterase 10A,0.99986,0.619,0.615
7795,10847,SRCAP,Snf2 related CREBBP activator protein,1,0.61,0.731
7799,10855,HPSE,heparanase,2.266e-14,0.425,0.808
7800,10856,RUVBL2,RuvB like AAA ATPase 2,0.99992,0.743,0.385
7801,10857,PGRMC1,progesterone receptor membrane component 1,0.6711,0.588,0.654
7804,10861,SLC26A1,solute carrier family 26 member 1,1.0564e-11,0.686,0.577
7808,10866,HCP5,HLA complex P5,,0.595,0.808
7815,10874,NMU,neuromedin U,0.00041549,0.61,0.808
7819,10878,CFHR3,complement factor H related 3,1.72e-11,0.663,0.462
7826,10886,NPFFR2,neuropeptide FF receptor 2,1.6686e-07,0.792,0.231
7829,10890,RAB10,"RAB10, member RAS oncogene family",0.97213,0.736,0.192
7830,10891,PPARGC1A,PPARG coactivator 1 alpha,0.9973,0.453,0.885
7831,10892,MALT1,MALT1 paracaspase,0.98651,0.532,0.769
7833,10894,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,4.7185e-07,0.587,0.731
7844,10907,TXNL4A,thioredoxin like 4A,7.2309e-05,0.711,0.385
7845,10908,PNPLA6,patatin like phospholipase domain containing 6,1.94e-13,0.533,0.769
7849,10913,EDAR,ectodysplasin A receptor,1.3242e-06,0.623,0.423
7854,10919,EHMT2,euchromatic histone lysine methyltransferase 2,0.00010292,0.59,0.808
7865,10933,MORF4L1,mortality factor 4 like 1,0.99339,0.736,0.423
7870,10939,AFG3L2,AFG3 like matrix AAA peptidase subunit 2,5.2511e-09,0.588,0.462
7871,10940,POP1,"POP1 homolog, ribonuclease P/MRP subunit",2.8105e-13,0.743,0.346
7874,10943,MSL3,MSL complex subunit 3,0.99665,0.861,0.115
7878,10947,AP3M2,adaptor related protein complex 3 subunit mu 2,1.972e-07,0.931,0.077
7881,10950,BTG3,BTG anti-proliferation factor 3,0.91582,0.528,0.808
7892,10962,MLLT11,MLLT11 transcription factor 7 cofactor,0.52915,0.633,0.5
7895,10965,ACOT2,acyl-CoA thioesterase 2,9.3287e-06,0.89,0.115
7896,10966,RAB40B,"RAB40B, member RAS oncogene family",8.6559e-06,0.563,0.731
7904,10978,CLP1,cleavage factor polyribonucleotide kinase subunit 1,0.20272,0.7,0.385
7905,10979,FERMT2,fermitin family member 2,0.99999,0.588,0.577
7910,10984,KCNQ1OT1,KCNQ1 opposite strand/antisense transcript 1,,0.534,0.731
7913,10987,COPS5,COP9 signalosome subunit 5,0.99925,0.566,0.769
7915,10989,IMMT,inner membrane mitochondrial protein,0.0133,0.576,0.846
7917,10991,SLC38A3,solute carrier family 38 member 3,,0.711,0.5
7922,10999,SLC27A4,solute carrier family 27 member 4,4.4885e-05,0.608,0.769
7924,11001,SLC27A2,solute carrier family 27 member 2,6.3647e-09,0.7,0.462
7926,11005,SPINK5,serine peptidase inhibitor Kazal type 5,4.846e-28,0.604,0.654
7929,11009,IL24,interleukin 24,5.8826e-07,0.498,0.769
7930,11010,GLIPR1,GLI pathogenesis related 1,2.072e-14,0.636,0.5
7931,11011,TLK2,tousled like kinase 2,1,0.631,0.538
7939,11019,LIAS,lipoic acid synthetase,2.3146e-05,0.695,0.538
7940,11020,IFT27,intraflagellar transport 27,5.8825e-06,0.67,0.462
7948,11030,RBPMS,"RNA binding protein, mRNA processing factor",0.97173,0.78,0.423
7950,11033,ADAP1,ArfGAP with dual PH domains 1,0.5333,0.839,0.154
7957,11041,B4GAT1,"beta-1,4-glucuronyltransferase 1",0.0069375,0.59,0.538
7959,11043,MID2,midline 2,0.1755,0.695,0.5
7962,11046,SLC35D2,solute carrier family 35 member D2,5.8967e-13,,
7967,11054,OGFR,opioid growth factor receptor,0.033874,0.678,0.308
7968,11055,ZPBP,zona pellucida binding protein,0.00031153,1,
7970,11057,ABHD2,abhydrolase domain containing 2,0.68151,0.729,0.346
7972,11060,WWP2,WW domain containing E3 ubiquitin protein ligase 2,0.16477,0.65,0.615
7976,11064,CNTRL,centriolin,1.8908e-54,0.711,0.423
7977,11065,UBE2C,ubiquitin conjugating enzyme E2 C,0.10513,0.558,0.615
7979,11067,DEPP1,DEPP1 autophagy regulator,0.33608,0.695,0.308
7986,11075,STMN2,stathmin 2,0.97687,0.674,0.5
7989,11078,TRIOBP,TRIO and F-actin binding protein,2.0161e-28,0.743,0.269
7991,11080,DNAJB4,DnaJ heat shock protein family (Hsp40) member B4,0.016227,0.705,0.346
7994,11083,DIDO1,death inducer-obliterator 1,1,0.751,0.308
7999,11093,ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13,5.1409e-15,0.496,0.769
8001,11095,ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8,1.1981e-10,0.674,0.346
8002,11096,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,8.0325e-07,0.597,0.654
8006,11100,HNRNPUL1,heterogeneous nuclear ribonucleoprotein U like 1,0.99999,0.821,0.269
8012,11107,PRDM5,PR/SET domain 5,3.6003e-10,0.621,0.654
8015,11113,CIT,citron rho-interacting serine/threonine kinase,0.9997,0.555,0.692
8016,11116,FGFR1OP,FGFR1 oncogene partner,0.00062816,0.656,0.577
8018,11118,BTN3A2,butyrophilin subfamily 3 member A2,1.1002e-10,0.716,0.462
8023,11124,FAF1,Fas associated factor 1,0.99895,0.666,0.731
8025,11127,KIF3A,kinesin family member 3A,0.89775,0.612,0.615
8026,11128,POLR3A,RNA polymerase III subunit A,1.2821e-23,0.538,0.769
8029,11131,CAPN11,calpain 11,4.4077e-24,,
8031,11133,KPTN,"kaptin, actin binding protein",1.1348e-05,0.769,0.192
8033,11136,SLC7A9,solute carrier family 7 member 9,9.0644e-10,0.666,0.692
8037,11141,IL1RAPL1,interleukin 1 receptor accessory protein like 1,0.99886,0.617,0.692
8038,11142,PKIG,cAMP-dependent protein kinase inhibitor gamma,0.51408,0.78,0.269
8042,11146,GLMN,"glomulin, FKBP associated protein",1.1537e-12,0.743,0.385
8044,11149,BVES,blood vessel epicardial substance,9.343e-06,0.722,0.308
8046,11152,WDR45,WD repeat domain 45,0.99145,0.647,0.423
8047,11154,AP4S1,adaptor related protein complex 4 subunit sigma 1,1.7275e-06,0.674,0.385
8048,11155,LDB3,LIM domain binding 3,9.5733e-06,0.659,0.385
8052,11160,ERLIN2,ER lipid raft associated 2,0.00066662,0.647,0.5
8054,11164,NUDT5,nudix hydrolase 5,0.001405,0.821,0.231
8057,11167,FSTL1,follistatin like 1,0.89403,0.541,0.808
8062,11172,INSL6,insulin like 6,3.734e-09,0.78,0.308
8066,11177,BAZ1A,bromodomain adjacent to zinc finger domain 1A,1,0.792,0.269
8067,11178,LZTS1,leucine zipper tumor suppressor 1,0.95491,0.633,0.385
8075,11186,RASSF1,Ras association domain family member 1,4.9255e-06,0.42,0.808
8079,11190,CEP250,centrosomal protein 250,9.449e-33,0.792,0.192
8082,11193,WBP4,WW domain binding protein 4,3.9769e-08,1,0.077
8088,11200,CHEK2,checkpoint kinase 2,1.2103e-24,0.46,0.808
8089,11201,POLI,DNA polymerase iota,3.1764e-08,0.691,0.423
8092,11212,PLPBP,pyridoxal phosphate binding protein,0.03972,0.736,0.231
8093,11213,IRAK3,interleukin 1 receptor associated kinase 3,5.3092e-21,0.615,0.615
8094,11214,AKAP13,A-kinase anchoring protein 13,0.92909,0.626,0.615
8101,11224,RPL35,ribosomal protein L35,0.54892,0.805,0.346
8106,11231,SEC63,"SEC63 homolog, protein translocation regulator",2.0818e-07,0.736,0.308
8107,11232,POLG2,"DNA polymerase gamma 2, accessory subunit",1.528e-10,0.558,0.769
8108,11234,HPS5,HPS5 biogenesis of lysosomal organelles complex 2 subunit 2,1.8969e-13,0.674,0.423
8110,11236,RNF139,ring finger protein 139,0.53807,0.67,0.423
8122,11253,MAN1B1,mannosidase alpha class 1B member 1,1.1812e-08,0.606,0.577
8124,11255,HRH3,histamine receptor H3,0.04081,0.647,0.462
8127,11259,FILIP1L,filamin A interacting protein 1 like,1.0757e-09,0.705,0.5
8129,11261,CHP1,calcineurin like EF-hand protein 1,0.62667,0.546,0.769
8130,11262,SP140,SP140 nuclear body protein,4.9994e-08,0.691,0.577
8138,11274,USP18,ubiquitin specific peptidase 18,0.0014952,0.601,0.615
8141,11277,TREX1,three prime repair exonuclease 1,0.57528,0.517,0.808
8142,11278,KLF12,Kruppel like factor 12,0.98067,0.647,0.654
8144,11280,SCN11A,sodium voltage-gated channel alpha subunit 11,6.9339e-26,0.666,0.462
8145,11281,POU6F2,POU class 6 homeobox 2,0.0015216,0.769,0.385
8148,11284,PNKP,polynucleotide kinase 3'-phosphatase,3.662e-14,0.553,0.692
8149,11285,B4GALT7,"beta-1,4-galactosyltransferase 7",0.00011304,0.628,0.654
8154,11315,PARK7,Parkinsonism associated deglycase,0.75335,0.535,0.808
8156,11317,RBPJL,recombination signal binding protein for immunoglobulin kappa J region like,2.9189e-11,0.931,0.077
8157,11318,GPR182,G protein-coupled receptor 182,0.00013704,0.691,0.462
8159,11320,MGAT4A,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",4.4513e-05,0.805,0.308
8160,11321,GPN1,GPN-loop GTPase 1,5.5764e-05,0.769,0.308
8161,11322,TMC6,transmembrane channel like 6,5.8557e-10,0.705,0.308
8166,11330,CTRC,chymotrypsin C,1.2851e-12,0.653,0.5
8176,11340,EXOSC8,exosome component 8,6.9378e-15,0.736,0.269
8178,11342,RNF13,ring finger protein 13,0.00040292,0.722,0.346
8179,11343,MGLL,monoglyceride lipase,0.020016,0.563,0.731
8184,22795,NID2,nidogen 2,4.1103e-09,0.674,0.5
8188,22800,RRAS2,RAS related 2,0.97463,0.656,0.5
8189,22801,ITGA11,integrin subunit alpha 11,8.661e-08,0.678,0.5
8192,22806,IKZF3,IKAROS family zinc finger 3,0.98416,0.608,0.692
8193,22807,IKZF2,IKAROS family zinc finger 2,0.98731,0.656,0.5
8194,22808,MRAS,muscle RAS oncogene homolog,0.92111,0.59,0.731
8195,22809,ATF5,activating transcription factor 5,0.29163,0.674,0.385
8200,22821,RASA3,RAS p21 protein activator 3,1.9114e-10,0.769,0.308
8205,22827,PUF60,poly(U) binding splicing factor 60,0.99677,0.536,0.769
8210,22836,RHOBTB3,Rho related BTB domain containing 3,4.2416e-06,0.931,0.038
8211,22837,COBLL1,cordon-bleu WH2 repeat protein like 1,0.046671,0.792,0.346
8215,22843,PPM1E,"protein phosphatase, Mg2+/Mn2+ dependent 1E",0.98758,0.805,0.192
8216,22844,FRMPD1,FERM and PDZ domain containing 1,2.1898e-12,0.805,0.154
8217,22845,DOLK,dolichol kinase,0.0012393,0.736,0.385
8223,22852,ANKRD26,ankyrin repeat domain 26,3.5745e-24,0.711,0.308
8225,22854,NTNG1,netrin G1,0.9167,0.65,0.423
8226,22856,CHSY1,chondroitin sulfate synthase 1,0.70781,0.612,0.615
8227,22858,CILK1,ciliogenesis associated kinase 1,1.3376e-05,0.545,0.808
8229,22861,NLRP1,NLR family pyrin domain containing 1,4.9693e-19,0.502,0.769
8230,22862,FNDC3A,fibronectin type III domain containing 3A,0.99998,0.674,0.577
8232,22864,R3HDM2,R3H domain containing 2,1,0.76,0.346
8234,22866,CNKSR2,connector enhancer of kinase suppressor of Ras 2,0.99996,0.628,0.538
8235,22868,FASTKD2,FAST kinase domains 2,2.8891e-06,0.659,0.731
8237,22871,NLGN1,neuroligin 1,0.85276,0.705,0.385
8238,22872,SEC31A,"SEC31 homolog A, COPII coat complex component",7.8773e-05,0.76,0.269
8243,22877,MLXIP,MLX interacting protein,0.98932,0.597,0.692
8246,22880,MORC2,MORC family CW-type zinc finger 2,0.99999,0.626,0.462
8250,22884,WDR37,WD repeat domain 37,0.56642,0.751,0.231
8256,22891,ZNF365,zinc finger protein 365,0.00046761,0.641,0.654
8260,22897,CEP164,centrosomal protein 164,4.8293e-27,0.711,0.462
8261,22898,DENND3,DENN domain containing 3,1.3007e-11,0.931,0.077
8264,22901,ARSG,arylsulfatase G,6.3682e-10,0.666,0.423
8265,22902,RUFY3,RUN and FYVE domain containing 3,0.020593,0.736,0.231
8266,22903,BTBD3,BTB domain containing 3,0.12831,1,0.077
8267,22904,SBNO2,strawberry notch homolog 2,0.0070655,0.663,0.538
8269,22906,TRAK1,trafficking kinesin protein 1,0.00037311,0.674,0.423
8270,22907,DHX30,DExH-box helicase 30,1,0.722,0.5
8272,22909,FAN1,FANCD2 and FANCI associated nuclease 1,1.6512e-25,0.61,0.577
8275,22914,KLRK1,killer cell lectin like receptor K1,6.9812e-14,0.467,0.769
8277,22916,NCBP2,nuclear cap binding protein subunit 2,0.39994,0.805,0.115
8279,22918,CD93,CD93 molecule,1.9782e-10,0.663,0.5
8281,22920,KIFAP3,kinesin associated protein 3,1.5803e-05,0.76,0.346
8284,22925,PLA2R1,phospholipase A2 receptor 1,3.2312e-30,0.633,0.577
8289,22930,RAB3GAP1,RAB3 GTPase activating protein catalytic subunit 1,1.4523e-07,0.566,0.692
8290,22931,RAB18,"RAB18, member RAS oncogene family",0.91006,0.582,0.692
8293,22934,RPIA,ribose 5-phosphate isomerase A,0.00014309,0.691,0.462
8294,22936,ELL2,elongation factor for RNA polymerase II 2,0.99824,0.722,0.269
8295,22937,SCAP,SREBF chaperone,2.9094e-06,0.682,0.462
8297,22941,SHANK2,SH3 and multiple ankyrin repeat domains 2,8.4299e-07,0.663,0.385
8298,22943,DKK1,dickkopf WNT signaling pathway inhibitor 1,0.17423,0.439,0.885
8301,22948,CCT5,chaperonin containing TCP1 subunit 5,0.99928,0.663,0.462
8302,22949,PTGR1,prostaglandin reductase 1,3.5375e-08,0.729,0.231
8306,22954,TRIM32,tripartite motif containing 32,0.0016684,0.587,0.769
8311,22978,NT5C2,"5'-nucleotidase, cytosolic II",2.1385e-06,0.537,0.846
8312,22979,EFR3B,EFR3 homolog B,0.024122,0.89,0.231
8316,22983,MAST1,microtubule associated serine/threonine kinase 1,1,0.711,0.385
8319,22986,SORCS3,sortilin related VPS10 domain containing receptor 3,3.7354e-05,0.76,0.231
8322,22990,PCNX1,pecanex 1,1,0.792,0.115
8323,22992,KDM2A,lysine demethylase 2A,1,0.636,0.423
8326,22995,CEP152,centrosomal protein 152,2.6574e-27,0.653,0.5
8327,22996,TTC39A,tetratricopeptide repeat domain 39A,0.0006305,0.931,0.115
8328,22997,IGSF9B,immunoglobulin superfamily member 9B,0.86551,0.821,0.192
8333,23005,MAPKBP1,mitogen-activated protein kinase binding protein 1,0.00021011,0.805,0.231
8334,23007,PLCH1,phospholipase C eta 1,0.39649,0.736,0.154
8336,23011,RAB21,"RAB21, member RAS oncogene family",0.1111,0.792,0.269
8344,23020,SNRNP200,small nuclear ribonucleoprotein U5 subunit 200,1,0.695,0.5
8348,23025,UNC13A,unc-13 homolog A,1,0.705,0.423
8349,23026,MYO16,myosin XVI,0.99851,0.722,0.308
8350,23028,KDM1A,lysine demethylase 1A,0.99667,0.512,0.808
8351,23030,KDM4B,lysine demethylase 4B,1,0.606,0.462
8355,23034,SAMD4A,sterile alpha motif domain containing 4A,0.99958,0.78,0.308
8357,23036,ZNF292,zinc finger protein 292,1,0.695,0.423
8360,23039,XPO7,exportin 7,1,0.931,0.077
8361,23040,MYT1L,myelin transcription factor 1 like,1,0.659,0.462
8363,23042,PDXDC1,pyridoxal dependent decarboxylase domain containing 1,3.4641e-12,0.78,0.154
8364,23043,TNIK,TRAF2 and NCK interacting kinase,1,0.612,0.615
8366,23047,PDS5B,PDS5 cohesin associated factor B,1,0.716,0.462
8367,23048,FNBP1,formin binding protein 1,0.82844,0.736,0.269
8372,23057,NMNAT2,nicotinamide nucleotide adenylyltransferase 2,0.98853,0.67,0.5
8378,23064,SETX,senataxin,0.95483,0.57,0.731
8379,23065,EMC1,ER membrane protein complex subunit 1,6.7281e-26,0.7,0.462
8383,23071,ERP44,endoplasmic reticulum protein 44,0.99106,0.736,0.346
8386,23075,SWAP70,switching B cell complex subunit SWAP70,0.049628,0.736,0.385
8387,23076,RRP1B,ribosomal RNA processing 1B,3.0653e-09,0.792,0.231
8389,23078,VWA8,von Willebrand factor A domain containing 8,8.4114e-70,0.769,0.231
8391,23081,KDM4C,lysine demethylase 4C,6.5189e-07,0.601,0.615
8397,23090,ZNF423,zinc finger protein 423,0.99996,0.592,0.808
8398,23091,ZC3H13,zinc finger CCCH-type containing 13,1,0.839,0.115
8399,23092,ARHGAP26,Rho GTPase activating protein 26,0.99661,0.656,0.5
8401,23094,SIPA1L3,signal induced proliferation associated 1 like 3,1,0.76,0.269
8402,23095,KIF1B,kinesin family member 1B,1,0.516,0.808
8403,23096,IQSEC2,IQ motif and Sec7 domain ArfGEF 2,0.99998,0.573,0.577
8404,23097,CDK19,cyclin dependent kinase 19,0.99982,0.691,0.462
8405,23098,SARM1,sterile alpha and TIR motif containing 1,1.7007e-10,0.682,0.346
8412,23111,SPART,spartin,2.967e-07,0.588,0.654
8413,23112,TNRC6B,trinucleotide repeat containing adaptor 6B,1,0.751,0.462
8415,23114,NFASC,neurofascin,0.99999,0.682,0.423
8418,23118,TAB2,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,0.99998,0.617,0.654
8422,23126,POGZ,pogo transposable element derived with ZNF domain,1,0.599,0.577
8424,23129,PLXND1,plexin D1,1,0.647,0.577
8428,23133,PHF8,PHD finger protein 8,0.99785,0.631,0.577
8429,23135,KDM6B,lysine demethylase 6B,1,0.514,0.808
8430,23136,EPB41L3,erythrocyte membrane protein band 4.1 like 3,4.3188e-05,0.619,0.615
8434,23141,ANKLE2,ankyrin repeat and LEM domain containing 2,1.0099e-10,0.691,0.5
8436,23143,LRCH1,leucine rich repeats and calponin homology domain containing 1,0.99552,0.769,0.269
8437,23144,ZC3H3,zinc finger CCCH-type containing 3,0.46998,1,0.077
8449,23162,MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3,1,0.682,0.462
8450,23163,GGA3,"golgi associated, gamma adaptin ear containing, ARF binding protein 3",1.6701e-06,0.821,0.346
8451,23164,MPRIP,myosin phosphatase Rho interacting protein,0.98078,0.556,0.885
8453,23166,STAB1,stabilin 1,8.6792e-50,0.619,0.692
8455,23169,SLC35D1,solute carrier family 35 member D1,0.00035546,0.736,0.385
8457,23171,GPD1L,glycerol-3-phosphate dehydrogenase 1 like,0.038201,0.674,0.308
8461,23175,LPIN1,lipin 1,6.4522e-13,0.601,0.692
8463,23177,CEP68,centrosomal protein 68,0.51822,0.839,0.269
8464,23178,PASK,PAS domain containing serine/threonine kinase,1.952e-21,0.792,0.308
8467,23181,DIP2A,disco interacting protein 2 homolog A,0.11301,0.76,0.231
8469,23185,LARP4B,La ribonucleoprotein 4B,0.99998,0.76,0.154
8471,23187,PHLDB1,pleckstrin homology like domain family B member 1,0.10667,0.722,0.423
8476,23193,GANAB,glucosidase II alpha subunit,0.99873,0.716,0.423
8479,23196,FAM120A,family with sequence similarity 120A,1,0.931,0.077
8482,23199,GSE1,Gse1 coiled-coil protein,1,0.78,0.231
8485,23203,PMPCA,"peptidase, mitochondrial processing subunit alpha",3.437e-11,0.633,0.577
8488,23207,PLEKHM2,pleckstrin homology and RUN domain containing M2,1.7077e-05,0.7,0.462
8489,23208,SYT11,synaptotagmin 11,0.92676,0.861,0.192
8490,23209,MLC1,modulator of VRAC current 1,3.2425e-08,0.585,0.769
8496,23215,PRRC2C,proline rich coiled-coil 2C,1,0.839,0.192
8497,23216,TBC1D1,TBC1 domain family member 1,1.8584e-13,0.716,0.423
8499,23218,NBEAL2,neurobeachin like 2,0.059764,0.617,0.769
8502,23221,RHOBTB2,Rho related BTB domain containing 2,0.013306,0.631,0.615
8504,23224,SYNE2,spectrin repeat containing nuclear envelope protein 2,1.6503e-25,0.623,0.692
8506,23228,PLCL2,phospholipase C like 2,0.99999,0.743,0.308
8507,23229,ARHGEF9,Cdc42 guanine nucleotide exchange factor 9,0.9989,0.691,0.385
8508,23230,VPS13A,vacuolar protein sorting 13 homolog A,9.3125e-22,0.65,0.577
8510,23233,EXOC6B,exocyst complex component 6B,0.11692,0.682,0.577
8512,23235,SIK2,salt inducible kinase 2,0.99651,0.674,0.577
8513,23236,PLCB1,phospholipase C beta 1,0.98337,0.595,0.654
