geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
2468,3394,IRF8,interferon regulatory factor 8,0.94807,0.539,0.808
2471,3398,ID2,inhibitor of DNA binding 2,0.66939,0.572,0.731
2472,3399,ID3,"inhibitor of DNA binding 3, HLH protein",0.72177,0.615,0.692
2473,3400,ID4,"inhibitor of DNA binding 4, HLH protein",0.031243,0.59,0.615
2482,3416,IDE,insulin degrading enzyme,0.0066309,0.604,0.577
2483,3417,IDH1,isocitrate dehydrogenase (NADP(+)) 1,2.6244e-12,0.424,0.808
2484,3418,IDH2,isocitrate dehydrogenase (NADP(+)) 2,0.88271,0.434,0.808
2485,3419,IDH3A,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha,0.15704,0.705,0.385
2486,3420,IDH3B,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta,2.9929e-11,0.7,0.462
2488,3423,IDS,iduronate 2-sulfatase,0.94725,0.559,0.769
2490,3425,IDUA,alpha-L-iduronidase,3.7599e-13,0.499,0.846
2491,3426,CFI,complement factor I,3.5432e-08,0.569,0.731
2492,3428,IFI16,interferon gamma inducible protein 16,1.7803e-11,0.603,0.769
2493,3429,IFI27,interferon alpha inducible protein 27,0.010698,0.437,0.769
2495,3431,SP110,SP110 nuclear body protein,1.4595e-14,0.656,0.5
2499,3438,IFN1@,"interferon, type 1, cluster",,0.565,0.731
2500,3439,IFNA1,interferon alpha 1,,0.371,0.923
2501,3440,IFNA2,interferon alpha 2,,0.442,0.885
2503,3442,IFNA5,interferon alpha 5,,0.792,0.269
2515,3456,IFNB1,interferon beta 1,,0.421,0.846
2516,3458,IFNG,interferon gamma,0.47156,0.288,0.962
2517,3459,IFNGR1,interferon gamma receptor 1,0.015503,0.529,0.692
2518,3460,IFNGR2,interferon gamma receptor 2,0.95281,0.597,0.577
2522,3476,IGBP1,immunoglobulin binding protein 1,0.98274,0.641,0.692
2524,3479,IGF1,insulin like growth factor 1,0.2716,0.318,0.885
2525,3480,IGF1R,insulin like growth factor 1 receptor,0.96799,0.399,0.885
2526,3481,IGF2,insulin like growth factor 2,0.044127,0.39,0.885
2527,3482,IGF2R,insulin like growth factor 2 receptor,1,0.518,0.731
2528,3483,IGFALS,insulin like growth factor binding protein acid labile subunit,5.4379e-11,0.511,0.846
2529,3484,IGFBP1,insulin like growth factor binding protein 1,0.00094677,0.502,0.808
2530,3485,IGFBP2,insulin like growth factor binding protein 2,0.11898,0.478,0.769
2531,3486,IGFBP3,insulin like growth factor binding protein 3,0.91029,0.439,0.808
2533,3488,IGFBP5,insulin like growth factor binding protein 5,0.96283,0.544,0.692
2535,3490,IGFBP7,insulin like growth factor binding protein 7,0.0012873,0.475,0.808
2536,3491,CCN1,cellular communication network factor 1,0.71388,0.473,0.731
2537,3492,IGH,immunoglobulin heavy locus,,0.473,0.654
2545,3501,IGHG2,immunoglobulin heavy constant gamma 2 (G2m marker),,0.76,0.192
2550,3508,IGHMBP2,immunoglobulin mu DNA binding protein 2,3.0212e-16,0.636,0.615
2553,3516,RBPJ,recombination signal binding protein for immunoglobulin kappa J region,0.99853,0.518,0.808
2562,3543,IGLL1,immunoglobulin lambda like polypeptide 1,0.013899,0.678,0.538
2567,3549,IHH,Indian hedgehog signaling molecule,0.31397,0.573,0.538
2568,3550,IK,IK cytokine,2.4864e-06,0.729,0.5
2569,3551,IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta,0.99192,0.506,0.846
2570,3552,IL1A,interleukin 1 alpha,0.0001602,0.333,0.962
2571,3553,IL1B,interleukin 1 beta,0.13005,0.276,0.962
2572,3554,IL1R1,interleukin 1 receptor type 1,0.15126,0.509,0.769
2573,3556,IL1RAP,interleukin 1 receptor accessory protein,0.25846,0.647,0.654
2574,3557,IL1RN,interleukin 1 receptor antagonist,0.030914,0.373,0.923
2575,3558,IL2,interleukin 2,0.47968,0.336,0.885
2576,3559,IL2RA,interleukin 2 receptor subunit alpha,0.054709,0.389,0.885
2577,3560,IL2RB,interleukin 2 receptor subunit beta,0.29095,0.491,0.846
2578,3561,IL2RG,interleukin 2 receptor subunit gamma,0.99152,0.535,0.769
2581,3565,IL4,interleukin 4,0.0047372,0.332,0.962
2582,3566,IL4R,interleukin 4 receptor,0.00023013,0.474,0.846
2583,3567,IL5,interleukin 5,0.0056529,0.437,0.846
2584,3568,IL5RA,interleukin 5 receptor subunit alpha,2.6791e-08,0.647,0.654
2585,3569,IL6,interleukin 6,0.31536,0.248,0.962
2586,3570,IL6R,interleukin 6 receptor,3.1681e-05,0.471,0.846
2587,3572,IL6ST,interleukin 6 signal transducer,0.99978,0.475,0.808
2588,3574,IL7,interleukin 7,0.92574,0.464,0.808
2589,3575,IL7R,interleukin 7 receptor,3.763e-07,0.487,0.769
2590,3576,CXCL8,C-X-C motif chemokine ligand 8,0.00027377,0.31,0.962
2593,3579,CXCR2,C-X-C motif chemokine receptor 2,0.013736,0.445,0.923
2595,3586,IL10,interleukin 10,0.0058874,0.281,0.923
2598,3589,IL11,interleukin 11,0.00031772,0.481,0.808
2599,3590,IL11RA,interleukin 11 receptor subunit alpha,6.2882e-21,0.663,0.654
2600,3592,IL12A,interleukin 12A,0.04746,0.491,0.808
2601,3593,IL12B,interleukin 12B,0.00011439,0.48,0.885
2602,3594,IL12RB1,interleukin 12 receptor subunit beta 1,9.3569e-15,0.555,0.731
2603,3595,IL12RB2,interleukin 12 receptor subunit beta 2,1.6212e-09,0.608,0.692
2604,3596,IL13,interleukin 13,0.014426,0.386,0.846
2607,3600,IL15,interleukin 15,0.70859,0.422,0.846
2608,3601,IL15RA,interleukin 15 receptor subunit alpha,2.332e-06,0.603,0.769
2609,3603,IL16,interleukin 16,1.2449e-10,0.501,0.846
2611,3605,IL17A,interleukin 17A,0.043049,0.324,0.923
2612,3606,IL18,interleukin 18,0.030717,0.365,0.923
2613,3607,FOXK2,forkhead box K2,0.025464,0.722,0.385
2615,3609,ILF3,interleukin enhancer binding factor 3,1,0.621,0.654
2616,3611,ILK,integrin linked kinase,3.7887e-05,0.503,0.769
2617,3612,IMPA1,inositol monophosphatase 1,0.00047793,0.623,0.731
2618,3613,IMPA2,inositol monophosphatase 2,0.0010588,0.695,0.385
2619,3614,IMPDH1,inosine monophosphate dehydrogenase 1,5.7762e-06,0.623,0.462
2623,3620,IDO1,"indoleamine 2,3-dioxygenase 1",3.3013e-06,0.454,0.885
2626,3623,INHA,inhibin subunit alpha,0.0064728,0.578,0.615
2627,3624,INHBA,inhibin subunit beta A,0.97979,0.601,0.615
2630,3627,CXCL10,C-X-C motif chemokine ligand 10,0.36865,0.378,0.885
2631,3628,INPP1,inositol polyphosphate-1-phosphatase,7.898e-07,0.821,0.192
2632,3630,INS,insulin,0.30091,0.445,0.923
